name,rank,wsk,year,Prestiz,Prestiz_rel,Absolwenci,Absolwenci_rel,PotencjalNaukowy,PotencjalNaukowy_rel,Innowacyjnosc,Innowacyjnosc_rel,EfektywnoscNaukowa,EfektywnoscNaukowa_rel,WarunkiKsztalcenia,WarunkiKsztalcenia_rel,Umiedzynarodowienie,Umiedzynarodowienie_rel,canonical
Uniwersytet Warszawski,1,100.0,2022,88.57000000000001,88.57,75.04,75.04,87.69666666666666,93.32609682728871,39.4075,63.38795616768875,56.13357142857142,83.29438199865393,79.62,100.0,52.234,85.59863655730722,
Uniwersytet Jagielloński w Krakowie,2,99.4,2022,100.0,100.0,69.89,69.89,93.968,100.00000000000001,38.43375,61.8216547702825,51.813571428571436,76.88410520570017,70.315,88.31323787992966,52.916000000000004,86.71626626462589,
Politechnika Warszawska,3,84.0,2022,56.61833333333334,56.61833333333334,86.54,86.54,67.82266666666666,72.17634371984789,27.768750000000004,44.666733688549314,52.011785714285715,77.17822752878955,51.835,65.10298919869379,48.943333333333335,80.20604590694067,Politechnika Warszawska
Uniwersytet im. Adama Mickiewicza w Poznaniu,4=,80.9,2022,50.65,50.65,65.53,65.53,86.19066666666667,91.72342357682048,25.213749999999997,40.55695184477731,47.04821428571429,69.81298059852568,59.145,74.28409947249435,43.92133333333333,71.97622715304863,
Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,4=,80.5,2022,47.70166666666666,47.70166666666666,78.72,78.72,79.40066666666667,84.49755945286338,34.010000000000005,54.70594148989645,51.582499999999996,76.54122747049504,54.864999999999995,68.9085656870133,30.266000000000002,49.59850545704828,AGH
Politechnika Gdańska,6,78.4,2022,27.683333333333334,27.683333333333334,78.42,78.42,76.826,81.75761961518813,62.16875,100.0,50.291785714285716,74.62598769455796,40.545,50.92313489073097,36.87866666666667,60.43503435919286,Politechnika Gdanska
Gdański Uniwersytet Medyczny,7=,72.8,2022,14.533333333333333,14.533333333333333,73.45,73.45,79.82000000000001,84.94381065894774,12.77125,20.542877249421934,57.77357142857143,85.7279130033864,44.464999999999996,55.846520974629485,32.83866666666667,53.81447128358079,
Politechnika Wrocławska,7=,72.6,2022,39.68666666666667,39.68666666666667,78.99,78.99,71.13133333333333,75.69740053351495,28.596249999999998,45.99778827787272,43.28214285714286,64.22465645982714,38.17,47.940216026124084,38.97666666666667,63.87313864944883,Politechnika Wroclawska
Uniwersytet Medyczny w Łodzi,9,71.8,2022,7.59,7.59,75.87,75.87,73.252,77.95419717350588,16.2875,26.198853925806777,67.3917857142857,100.0,36.989999999999995,46.45817633760361,23.876666666666665,39.12796477773043,
Uniwersytet Wrocławski,10=,70.9,2022,37.12,37.12,63.19,63.19,75.562,80.41248084454281,15.4725,24.887905901276767,42.146428571428565,62.53941504104464,39.795,49.98116051243406,49.413999999999994,80.97735243027104,
Politechnika Łódzka,10=,70.4,2022,14.93,14.93,77.24,77.24,71.31066666666668,75.88824564390715,29.2725,47.08555343319593,43.513214285714284,64.56753419503225,40.56,50.941974378296905,47.76066666666667,78.2679470791955,Politechnika Lodzka
Warszawski Uniwersytet Medyczny,12,70.3,2022,17.43166666666667,17.43166666666667,88.56,88.56,61.68333333333333,65.6429138997673,19.771250000000002,31.802553533728766,56.93035714285714,84.47670074246014,43.6,54.76011052499372,23.865333333333336,39.10939224104968,
Uniwersytet Mikołaja Kopernika w Toruniu,13=,68.9,2022,22.268333333333334,22.268333333333334,65.41,65.41,83.046,88.37689426187639,19.898750000000003,32.0076404946215,41.05464285714286,60.919357488460356,57.075,71.68425018839487,31.30333333333333,51.298438814416656,
Politechnika Śląska,13=,68.6,2022,25.456666666666667,25.456666666666663,71.42,71.42,73.57933333333334,78.3025427095749,38.879999999999995,62.53945913340705,39.48392857142857,58.58863680927625,42.885000000000005,53.86209495101734,34.32266666666666,56.246381086602646,Politechnika Slaska
Szkoła Główna Handlowa w Warszawie,13=,68.5,2022,19.043333333333333,19.043333333333333,100.0,100.0,76.43533333333333,81.34187524831147,15.8075,25.42676183774002,31.487857142857145,46.72358331081047,48.345000000000006,60.719668425018845,36.902,60.47327193471207,
Uniwersytet Gdański,16=,67.6,2022,23.19,23.19,65.71,65.71,72.37733333333333,77.02338384698336,49.9925,80.41419523474414,42.278214285714284,62.73496663963922,37.32,46.872645064054254,30.009999999999998,49.17898462849464,
Pomorski Uniwersytet Medyczny w Szczecinie,16=,67.4,2022,3.1799999999999997,3.18,74.18,74.18,74.97733333333333,79.79028321698166,5.42375,8.72423846385845,62.765357142857134,93.13502599405396,32.165,40.39814117056016,24.814000000000004,40.664022811445065,
Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,16=,67.3,2022,11.36,11.36,76.22,76.22,71.55933333333334,76.1528747374993,6.20125,9.974866794008243,53.10107142857144,78.79457543045203,49.185,61.77467972871138,25.923333333333332,42.48194640184414,
Akademia Leona Koźmińskiego w Warszawie,16=,67.1,2022,26.983333333333334,26.983333333333334,72.41,72.41,70.002,74.495572961008,10.4575,16.82115210616266,35.431785714285716,52.57582261509193,38.65,48.54307962823411,54.681999999999995,89.61030448035135,
Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu,20,65.6,2022,10.765,10.765,72.46,72.46,59.90333333333333,63.74865202338384,6.22,10.00502664119835,54.43857142857143,80.77923867364083,52.44,65.86284853051997,28.409333333333333,46.55588694787672,
