criterion,target_rank,feasible,norm,Prestiz,Absolwenci,PotencjalNaukowy,Innowacyjnosc,EfektywnoscNaukowa,WarunkiKsztalcenia,Umiedzynarodowienie
Prestiz,4,True,0.10881673486502866,10.881673486502866,0.0,0.0,0.0,0.0,0.0,0.0
Prestiz,3,False,,,,,,,,
Prestiz,2,False,,,,,,,,
Absolwenci,4,False,,,,,,,,
Absolwenci,3,False,,,,,,,,
Absolwenci,2,False,,,,,,,,
PotencjalNaukowy,4,False,,,,,,,,
PotencjalNaukowy,3,False,,,,,,,,
PotencjalNaukowy,2,False,,,,,,,,
Innowacyjnosc,4,False,,,,,,,,
Innowacyjnosc,3,False,,,,,,,,
Innowacyjnosc,2,False,,,,,,,,
EfektywnoscNaukowa,4,True,0.029636737581052727,0.0,0.0,0.0,0.0,2.963673758105273,0.0,0.0
EfektywnoscNaukowa,3,True,0.1847494203912882,0.0,0.0,0.0,0.0,18.47494203912882,0.0,0.0
EfektywnoscNaukowa,2,True,0.23295602448243471,0.0,0.0,0.0,0.0,23.29560244824347,0.0,0.0
WarunkiKsztalcenia,4,True,0.20981629445432304,0.0,0.0,0.0,0.0,0.0,20.981629445432304,0.0
WarunkiKsztalcenia,3,False,,,,,,,,
WarunkiKsztalcenia,2,False,,,,,,,,
Umiedzynarodowienie,4,True,0.10144786960810535,0.0,0.0,0.0,0.0,0.0,0.0,10.144786960810535
Umiedzynarodowienie,3,False,,,,,,,,
Umiedzynarodowienie,2,False,,,,,,,,
