year,next_year,pair,university,k,target_rank,scenario,achieved_rank,survived
2022,2023,2022→2023,AGH,1,1,full,1,True
2022,2023,2022→2023,AGH,1,1,values_only,1,True
2022,2023,2022→2023,AGH,1,1,weights_only,1,True
2022,2023,2022→2023,Politechnika Gdanska,1,2,full,2,True
2022,2023,2022→2023,Politechnika Gdanska,1,2,values_only,2,True
2022,2023,2022→2023,Politechnika Gdanska,1,2,weights_only,2,True
2022,2023,2022→2023,Politechnika Gdanska,2,1,full,1,True
2022,2023,2022→2023,Politechnika Gdanska,2,1,values_only,1,True
2022,2023,2022→2023,Politechnika Gdanska,2,1,weights_only,1,True
2022,2023,2022→2023,Politechnika Wroclawska,1,3,full,2,True
2022,2023,2022→2023,Politechnika Wroclawska,1,3,values_only,2,True
2022,2023,2022→2023,Politechnika Wroclawska,1,3,weights_only,3,True
2022,2023,2022→2023,Politechnika Wroclawska,2,2,full,2,True
2022,2023,2022→2023,Politechnika Wroclawska,2,2,values_only,2,True
2022,2023,2022→2023,Politechnika Wroclawska,2,2,weights_only,2,True
2022,2023,2022→2023,Politechnika Wroclawska,3,1,full,1,True
2022,2023,2022→2023,Politechnika Wroclawska,3,1,values_only,1,True
2022,2023,2022→2023,Politechnika Wroclawska,3,1,weights_only,1,True
2022,2023,2022→2023,Politechnika Lodzka,1,4,full,4,True
2022,2023,2022→2023,Politechnika Lodzka,1,4,values_only,4,True
2022,2023,2022→2023,Politechnika Lodzka,1,4,weights_only,4,True
2022,2023,2022→2023,Politechnika Lodzka,2,3,full,2,True
2022,2023,2022→2023,Politechnika Lodzka,2,3,values_only,2,True
2022,2023,2022→2023,Politechnika Lodzka,2,3,weights_only,3,True
2022,2023,2022→2023,Politechnika Lodzka,3,2,full,2,True
2022,2023,2022→2023,Politechnika Lodzka,3,2,values_only,2,True
2022,2023,2022→2023,Politechnika Lodzka,3,2,weights_only,2,True
2022,2023,2022→2023,Politechnika Slaska,1,5,full,4,True
2022,2023,2022→2023,Politechnika Slaska,1,5,values_only,4,True
2022,2023,2022→2023,Politechnika Slaska,1,5,weights_only,5,True
2022,2023,2022→2023,Politechnika Slaska,2,4,full,4,True
2022,2023,2022→2023,Politechnika Slaska,2,4,values_only,4,True
2022,2023,2022→2023,Politechnika Slaska,2,4,weights_only,4,True
2022,2023,2022→2023,Politechnika Slaska,3,3,full,2,True
2022,2023,2022→2023,Politechnika Slaska,3,3,values_only,2,True
2022,2023,2022→2023,Politechnika Slaska,3,3,weights_only,3,True
2022,2023,2022→2023,Politechnika Poznanska,1,6,full,5,True
2022,2023,2022→2023,Politechnika Poznanska,1,6,values_only,5,True
2022,2023,2022→2023,Politechnika Poznanska,1,6,weights_only,6,True
2022,2023,2022→2023,Politechnika Poznanska,2,5,full,4,True
2022,2023,2022→2023,Politechnika Poznanska,2,5,values_only,4,True
2022,2023,2022→2023,Politechnika Poznanska,2,5,weights_only,5,True
2022,2023,2022→2023,Politechnika Poznanska,3,4,full,4,True
2022,2023,2022→2023,Politechnika Poznanska,3,4,values_only,4,True
2022,2023,2022→2023,Politechnika Poznanska,3,4,weights_only,4,True
2022,2023,2022→2023,PJATK,1,7,full,7,True
2022,2023,2022→2023,PJATK,1,7,values_only,7,True
2022,2023,2022→2023,PJATK,1,7,weights_only,7,True
2022,2023,2022→2023,PJATK,2,6,full,6,True
2022,2023,2022→2023,PJATK,2,6,values_only,6,True
2022,2023,2022→2023,PJATK,2,6,weights_only,6,True
2022,2023,2022→2023,PJATK,3,5,full,4,True
2022,2023,2022→2023,PJATK,3,5,values_only,4,True
2022,2023,2022→2023,PJATK,3,5,weights_only,5,True
2022,2023,2022→2023,Politechnika Czestochowska,1,8,full,8,True
2022,2023,2022→2023,Politechnika Czestochowska,1,8,values_only,8,True
2022,2023,2022→2023,Politechnika Czestochowska,1,8,weights_only,8,True
2022,2023,2022→2023,Politechnika Czestochowska,2,7,full,7,True
2022,2023,2022→2023,Politechnika Czestochowska,2,7,values_only,7,True
2022,2023,2022→2023,Politechnika Czestochowska,2,7,weights_only,7,True
2022,2023,2022→2023,Politechnika Czestochowska,3,6,full,6,True
2022,2023,2022→2023,Politechnika Czestochowska,3,6,values_only,6,True
2022,2023,2022→2023,Politechnika Czestochowska,3,6,weights_only,6,True
2022,2023,2022→2023,Politechnika Krakowska,1,9,full,8,True
2022,2023,2022→2023,Politechnika Krakowska,1,9,values_only,8,True
2022,2023,2022→2023,Politechnika Krakowska,1,9,weights_only,9,True
2022,2023,2022→2023,Politechnika Krakowska,2,8,full,8,True
2022,2023,2022→2023,Politechnika Krakowska,2,8,values_only,8,True
2022,2023,2022→2023,Politechnika Krakowska,2,8,weights_only,8,True
2022,2023,2022→2023,Politechnika Krakowska,3,7,full,7,True
2022,2023,2022→2023,Politechnika Krakowska,3,7,values_only,7,True
