year,next_year,pair,main,university,initial_rank,k,alpha,epsilon,target_rank,target_university,feasible,planned_norm,achieved_rank,realized_next_rank,survived,resolved_norm,effort_ratio,competitors_moved,Prestiz,Absolwenci,PotencjalNaukowy,Innowacyjnosc,EfektywnoscNaukowa,WarunkiKsztalcenia,Umiedzynarodowienie
2022,2023,2022→2023,False,AGH,2,1,0.0,1e-06,1,Politechnika Warszawska,True,0.12443357866134916,1,2,True,0.09945551734944631,0.7992659089241368,False,6.192155637291924,3.407708452961211,2.8178471549794915,5.419175050672164,3.5494253100800566,4.278256412874737,6.05576319410509
2022,2023,2022→2023,False,AGH,2,1,0.25,0.00996198051395819,1,Politechnika Warszawska,True,0.1564681758399071,1,2,True,0.09945551734944631,0.6356277678548883,False,7.795906139666347,4.166732564737696,3.504809573320977,7.030233157838406,4.396564528166669,5.32711712074464,7.567645792112021
2022,2023,2022→2023,False,AGH,2,1,0.5,0.01992396102791638,1,Politechnika Warszawska,True,0.18766864728938956,1,2,True,0.09945551734944631,0.5299527586836789,False,9.4497681840581,4.927510512811617,4.1312565688261245,8.40441007260183,5.246630872392622,6.323367906738331,9.132536693983528
2022,2023,2022→2023,False,Politechnika Gdanska,3,1,0.0,1e-06,2,AGH,True,0.04742403515368729,2,3,True,0.09508569950590189,2.0050107334341587,False,2.893205312166014,1.31206699030183,1.2330447039032966,0.0,1.4691388881063139,2.222260890906169,1.9444851646579941
2022,2023,2022→2023,False,Politechnika Gdanska,3,1,0.25,0.00996198051395819,2,AGH,True,0.07846193566306657,1,3,True,0.09508569950590189,1.2118704273906973,False,4.807180924917937,2.2350943563698267,2.0972291412887367,0.0,2.431318813920569,3.5973056508122103,3.1949693366009946
2022,2023,2022→2023,False,Politechnika Gdanska,3,1,0.5,0.01992396102791638,2,AGH,True,0.1101823627911894,1,3,True,0.09508569950590189,0.8629847563362046,False,6.788596012137537,3.1319479320995214,2.8522667691530335,0.0,3.3644051889415105,5.138103742915467,4.433129703307525
2022,2023,2022→2023,False,Politechnika Gdanska,3,2,0.0,1e-06,1,Politechnika Warszawska,True,0.17416433991740427,1,3,True,0.19596329732241807,1.125163150018837,False,11.057824216846745,4.562161204509064,4.233778086127593,0.0,5.161042451924969,8.216113977640592,6.941009779226248
2022,2023,2022→2023,False,Politechnika Gdanska,3,2,0.25,0.00996198051395819,1,Politechnika Warszawska,True,0.20584544043001538,1,3,True,0.19596329732241807,0.9519924119428961,False,13.150471896251858,5.427628493009551,4.923182148591742,0.0,6.038868613199721,9.624784912512963,8.245438138643257
2022,2023,2022→2023,False,Politechnika Gdanska,3,2,0.5,0.01992396102791638,1,Politechnika Warszawska,True,0.23831920196719275,1,3,True,0.19596329732241807,0.8222723796691572,False,15.370656276100348,6.182617889728292,5.586085578939526,0.0,6.884542245528513,11.216703710945753,9.437312423012056
2022,2023,2022→2023,False,Politechnika Wroclawska,4,1,0.0,1e-06,3,Politechnika Gdanska,True,0.14504617718668708,2,6,True,0.14116981368857134,0.9732749695765748,False,6.830654797235009,3.897415671058524,4.157132247195894,6.628784378995256,4.962520079887289,6.159274246579765,4.974981973933501
2022,2023,2022→2023,False,Politechnika Wroclawska,4,1,0.25,0.0037755731720638674,3,Politechnika Gdanska,True,0.154665150012855,2,6,True,0.14116981368857134,0.9127448146970278,False,7.358286391830932,4.127919346952503,4.404349116474071,6.785414847127502,5.396263022743197,6.677014217348659,5.374632105468658
2022,2023,2022→2023,False,Politechnika Wroclawska,4,1,0.5,0.007551146344127735,3,Politechnika Gdanska,True,0.16676328625701664,2,6,True,0.14116981368857134,0.8465281349217328,False,7.9825927247698605,4.335809266141033,4.727863672788912,7.412863777025658,5.736377790948055,7.20439662490841,5.785006711820106
2022,2023,2022→2023,False,Politechnika Wroclawska,4,2,0.0,1e-06,2,AGH,True,0.18899300469044938,2,6,True,0.23278956588063376,1.231736414064206,False,9.061153410370071,4.8774837945229965,5.284044778984054,8.396906075823896,6.504383621497867,8.184865653457768,6.600076968783575
2022,2023,2022→2023,False,Politechnika Wroclawska,4,2,0.25,0.00996198051395819,2,AGH,True,0.21932175873306292,1,6,True,0.23278956588063376,1.061406616586376,False,10.67782668546543,5.614207057987897,5.99009892450213,9.7074109308253,7.482560522635362,9.620961424125824,7.537792257564102
2022,2023,2022→2023,False,Politechnika Wroclawska,4,2,0.5,0.01992396102791638,2,AGH,True,0.2496419119622401,1,6,True,0.23278956588063376,0.9324939231992609,False,12.212373094758867,6.232572726182461,6.728355767153282,11.216567190875503,8.469754362609638,10.939829892243964,8.527898614424034
2022,2023,2022→2023,False,Politechnika Wroclawska,4,3,0.0,1e-06,1,Politechnika Warszawska,True,0.31059464929955505,1,6,True,0.3292307605216864,1.060001391730859,False,15.382296453919642,7.4658385422147315,8.104579553365376,14.142672778576937,10.41610333834374,13.694706366494309,10.516509788050577
2022,2023,2022→2023,False,Politechnika Wroclawska,4,3,0.25,0.00996198051395819,1,Politechnika Warszawska,True,0.3413104392518645,1,6,True,0.3292307605216864,0.9646079423862448,False,17.01499348958453,8.00065841793468,8.787397362701855,15.661355077687134,11.379341547292022,15.078449119050157,11.491831172045952
